X,Y,OBJECTID,HA_ID,Health_Authority,Community_Collection_Center_Nam,Address,Specific_Location,City_Town,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Days,Special_Criteria___Consideratio,Phone,Website,GlobalID,Status,Public_Access,Referral_Required,EditDate,Object,AcceptChildren,Accepts_Children,Drive_Through_Testing
-119.475479625,49.883093886,11,1 IHA,Interior,Kelowna Community Collection Centre,"2180 Ethel Street, Kelowna","Entrance on Glenwood Avenue; please follow signage. No drive-through testing capability.",Kelowna,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{085DD993-6E74-4C6A-BC48-B4F3300D998B},Open,Yes,Yes,2021/08/26 19:51:52+00,1,Yes,Yes,No
-120.334616221,50.67017113,12,1 IHA,Interior,Kamloops Urgent and Primary Care Centre,"102-311 Columbia St, Kamloops",Appointments offered in the clinic.,Kamloops,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,7 Days,"To book an appointment, call the Kamloops Public Health COVID Line at 250-851-7467, Sunday to Friday until 4 pm. After 4 pm on Friday and all day Saturday, call the Urgent and Primary Care Center at 250-314-2256.",250-314-2256,,{30A91291-C49D-4930-8CD9-91108657548F},Close,Yes,Yes,2020/09/22 21:16:56+00,1,Yes,,
-119.588069756,49.455959701,13,1 IHA,Interior,Penticton Test Collection Centre,"140-3547 Skaha Lake Road, Penticton",,Penticton,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{2B7B0D5F-5011-411C-B685-FCE2348DD569},Open,Yes,Yes,2021/08/26 19:51:59+00,1,Yes,Yes,No
-121.292104946,51.6384958040001,14,1 IHA,Interior,South Cariboo Health Centre,"555D Cedar Ave, 100 Mile House",,100 Mile House,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{688EAA4C-5353-4C0A-AE89-7299AA245F1D},Open,No,Yes,2021/08/26 19:52:01+00,1,Yes,Yes,No
-119.268729754,50.7058050570001,15,1 IHA,Interior,Salmon Arm Public Health Centre,"851 16th Street N, Salmon Arm",,Salmon Arm,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{050EB7F4-601D-44E7-A10F-69C8D60FA1B9},Open,Yes,Yes,2021/08/26 19:52:07+00,1,Yes,Yes,Yes
-122.143742341,52.137387222,16,1 IHA,Interior,Cariboo Memorial Hospital,"517 6th Avenue N, Williams Lake",,Williams Lake,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{B8968C43-35D7-44C6-830C-F3A38C2F518B},Open,Yes,Yes,2021/08/26 19:52:10+00,1,Yes,Yes,No
-117.284673903,49.495031011,17,1 IHA,Interior,Kootenay Lake Hospital,"3 View Street, Nelson",Old entrance of the hospital,Nelson,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{0F44E919-8993-464A-BB06-AE374795DB08},Open,Yes,Yes,2021/08/26 19:52:12+00,1,Yes,Yes,No
-117.679164861,49.0982176200001,18,1 IHA,Interior,Trail Test Collection Centre,"2985 Highway Drive, Trail",Located at the ICBC Claim Centre,Trail,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{94FF4953-9940-4A13-AFF1-00D547E53EB8},Open,Yes,Yes,2021/08/26 19:52:14+00,1,Yes,Yes,Yes
-115.750482124,49.511008573,19,1 IHA,Interior,Cranbrook Health Unit Centre (Rocky Mountain Lodge),"20 23rd Avenue S, Cranbrook",,Cranbrook,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{CB670AC1-F639-4CAA-B6EF-E4040CC00E17},Open,Yes,Yes,2021/08/26 19:52:17+00,1,Yes,Yes,No
-122.696606939,58.8078185780001,20,5 NHA,Northern,Fort Nelson Health Unit,"5217 Airport Dr, Fort Nelson",,Fort Nelson,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-774-7096",https://northernhealthcovid.secureform.ca/index.php,{747FE73B-C415-4228-9B54-25787BFF34AB},Open,Yes,Yes,2021/10/05 19:30:43+00,1,Yes,Yes,No
-120.850384819,56.2548284920001,21,5 NHA,Northern,Fort St. John Health Unit,"10115 110 Ave, Fort St. John",,Fort St. John,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-263-6086",https://northernhealthcovid.secureform.ca/index.php,{C6606229-7E0E-439F-A1A9-047CFEE63722},Open,Yes,Yes,2021/10/05 19:30:55+00,1,Yes,Yes,No
-121.915733089,56.02637337,22,5 NHA,Northern,Hudson's Hope Health Centre,"10309 Kyllo St, Hudson's Hope",,Hudson's Hope,See Fort St John,See Fort St John,See Fort St John,See Fort St John,See Fort St John,See Fort St John,See Fort St John,7 Days a week,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-263-6086 ",https://northernhealthcovid.secureform.ca/index.php,{7B893B37-D9EA-41C7-ABF6-6A5039740B00},Open,Yes,Yes,2021/10/05 19:31:06+00,1,Yes,Yes,No
-120.234850846,55.7505179870001,23,5 NHA,Northern,Dawson Creek Health Unit,"Room157-1001 110th Ave, Dawson Creek",,Dawson Creek,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-719-6513",https://northernhealthcovid.secureform.ca/index.php,{C289B8E4-C620-412D-BAC4-5A2A554ED0CA},Open,Yes,Yes,2021/11/04 21:55:37+00,1,Yes,Yes,No
-121.000094973,55.1245377400001,24,5 NHA,Northern,"Tumbler Ridge Community Health Unit
","220 Front Street, Tumbler Ridge",,Tumbler Ridge,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-242-3889",https://northernhealthcovid.secureform.ca/index.php,{29AE8E79-B8AA-4026-8B58-D3173EBA4875},Open,Yes,Yes,2021/10/05 19:31:25+00,1,Yes,Yes,No
-121.630583485,55.6956421040001,25,5 NHA,Northern,Chetwynd Primary Care Clinic,"5125 50th Street SW, Chetwynd",Side entrance staff door,Chetwynd,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-788-9877",https://northernhealthcovid.secureform.ca/index.php,{5380C2C7-1659-4B44-94FB-39202D14A9F7},Open,Yes,Yes,2021/10/05 19:31:34+00,1,Yes,Yes,No
-125.759191699,54.2356993000001,26,5 NHA,Northern,Lakes District Health Centre ,"744 Center Street, Burns Lake ",Parking lot in front of Emergency Department,Burns Lake,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-692-2451",https://northernhealthcovid.secureform.ca/index.php,{3DAC6B85-32C6-4F50-9D0B-4DAB1D1D3556},Open,Yes,Yes,2021/11/04 21:28:02+00,1,Yes,Yes,No
-124.850315254,54.053522194,27,5 NHA,Northern,Fraser Lake Community Health Centre,"130 Chowsunket Rd, Fraser Lake",,Fraser Lake,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-699-6987",https://northernhealthcovid.secureform.ca/index.php,{E98BEB1B-B524-4807-A485-0455F7082DC4},Open,Yes,Yes,2021/11/04 22:07:11+00,1,Yes,Yes,Yes
-124.010948251,54.0285350940001,28,5 NHA,Northern,"St. John Hospital
","3255 Hospital Road, Vanderhoof",,Vanderhoof,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-567-4082",https://northernhealthcovid.secureform.ca/index.php,{737B475A-2F25-435F-B400-45BCEF18EAA4},Open,Yes,Yes,2021/10/05 19:32:04+00,1,Yes,Yes,Yes
-124.249143657,54.442229927,29,5 NHA,Northern,Fort St. James Health Centre,"111-250 Douglas Ave, Fort St. James",,Fort St. James,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-996-2216",https://northernhealthcovid.secureform.ca/index.php,{4843E4EC-8B37-4BF1-9B9A-87B4745E81A0},Open,Yes,Yes,2021/10/05 19:32:13+00,1,Yes,Yes,Yes
-122.497544321,52.980795576,30,5 NHA,Northern,Quesnel COVID-19 Test Collection Centre ,"511 Reid Street, Quesnel",Located at the Eileen Ramsay Building,Quesnel,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-991-7577",https://northernhealthcovid.secureform.ca/index.php,{AFEFCC0F-C186-4096-B1EC-6F461EB562CA},Open,Yes,Yes,2021/11/04 22:28:43+00,1,Yes,Yes,No
-120.161107393,53.300964682,31,5 NHA,Northern,McBride Hospital,"1136 5th Ave, McBride",,McBride,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-569-3369",https://northernhealthcovid.secureform.ca/index.php,{FB8DAF52-9B09-45C3-A581-9901D094B2D6},Open,Yes,Yes,2021/11/04 22:21:29+00,1,Yes,Yes,Yes
-119.27383989,52.831825759,32,5 NHA,Northern,Valemount Health Centre,"1445 5th Ave, Valemount",,Valemount,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-566-4319",https://northernhealthcovid.secureform.ca/index.php,{259C796A-19FF-44A8-B2AB-E076ECC2BD57},Open,Yes,Yes,2021/11/04 22:35:45+00,1,Yes,Yes,Yes
-123.100618559,55.337445867,33,5 NHA,Northern,Mackenzie Community Health Services,"45 Centennial Dr, Mackenzie",,Mackenzie,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-997-3253",https://northernhealthcovid.secureform.ca/index.php,{F38D20B3-6B2C-4662-AB70-044555664DDD},Open,Yes,Yes,2021/11/04 22:17:47+00,1,Yes,Yes,No
-122.759311072,53.9108410310001,34,5 NHA,Northern,Prince George COVID-19 Collection Centre,"175-1600 15th Avenue, Prince George",Near the Cineplex Theatre,Prince George,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 Days,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-645-6951",https://northernhealthcovid.secureform.ca/index.php,{6BFB0AE6-2B82-4E25-B202-A78850C07756},Open,Yes,Yes,2021/10/05 19:33:00+00,1,Yes,Yes,No
-132.070479627,53.2548809150001,35,5 NHA,Northern,"Haida Gwaii Hospital and Health Centre
","Xaayda Gwaay Ngaaysdll Naay, 3209 Oceanview Drive, Village of Queen Charlotte",Located in emergency room 2-912 DECON/Treatment Room 3209,Queen Charlotte,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 Days,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-559-8037",https://northernhealthcovid.secureform.ca/index.php,{02EACDEC-9B28-4AA1-BB2A-59A809C6CBCB},Open,Yes,Yes,2021/10/05 19:33:10+00,1,Yes,Yes,Yes
-132.157304784,54.020409521,36,5 NHA,Northern,Northern Haida Gwaii Hospital and Health Centre - Emergency Dept,"2520 Harrison Ave, Village of Masset",Emergency Department,Village of Masset,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 Days,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-626-5279",https://northernhealthcovid.secureform.ca/index.php,{E4D2094D-D915-4020-91CD-123C6407B927},Open,Yes,Yes,2021/10/05 19:33:19+00,1,Yes,Yes,Yes
-130.324135476,54.313570043,37,5 NHA,Northern,Prince Rupert COVID-19 Test Collection Centre,"300 3rd Avenue West, Prince Rupert",Located at the Prince Rupert Health Unit,Prince Rupert,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-622-6521",https://northernhealthcovid.secureform.ca/index.php,{1019F376-DD53-464B-A926-83B613E1FAE7},Open,Yes,Yes,2021/11/04 22:25:38+00,1,Yes,Yes,Yes
-128.647165684,54.0504838260001,38,5 NHA,Northern,Kitimat General Hospital - Emergency Department,"920 Lahakas Blvd. S, Kitimat ",Outside of the Hospital Emergency Department,Kitimat ,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-632-3198",https://northernhealthcovid.secureform.ca/index.php,{BB88BC55-74F1-415E-8407-8AE299A7A3F2},Open,Yes,Yes,2021/11/04 22:15:30+00,1,Yes,Yes,Yes
-128.596175171,54.5104283360001,39,5 NHA,Northern,Mills Memorial Hospital ,"4720 Haugland Avenue, Terrace ",Follow signs for drive through,Terrace ,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 Days,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-638-4064",https://northernhealthcovid.secureform.ca/index.php,{86738BFC-3036-4CF8-9646-23F349C66FFC},Close,Yes,Yes,2021/10/05 19:33:46+00,1,Yes,Yes,
-129.99142981,55.9384000840001,40,5 NHA,Northern,Stewart Health Centre,"904 Brightwell St, Stewart",Entrance next to helipad,Stewart,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-636-2101",https://northernhealthcovid.secureform.ca/index.php,{8D0D1FB6-886C-4F2F-A549-8F3BA7350668},Open,Yes,Yes,2021/11/04 22:30:13+00,1,Yes,Yes,Yes
-133.702354265,59.574983054,41,5 NHA,Northern,Atlin Health Centre,"164 Third Street, Atlin ",Outside the ambulance entrance,Atlin,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-651-7687",https://northernhealthcovid.secureform.ca/index.php,{6A27AF7A-216F-4FB7-8E99-C034596BB831},Open,Yes,Yes,2021/10/05 19:34:04+00,1,Yes,Yes,Yes
